ts	imei	mwra	p.android.packageinstaller	p.system	p.android.externalstorage	p.android.documentsui	p.android.gm	p.android.settings	p.android.chrome	p.olauncher	p.inputmethod.latin	p.android.gms	p.android.defcontainer	p.android.vending	p.dogalize	p.simulator	p.google	p.process.gapps	p.katana	p.gms.persistent	p.notifier	p.browser.provider
2018-05-05 10:11:00	8630330696303481578	1.00000	13.99857	11.05645	9.17384	7.82304	12.89497	10.56107	8.30581	0.25545	45.48332	28.53019	1.88304	68.08656	46.82780	76.13353	6.56988	88.40468	67.73791	64.86268	22.96975	42.87779
2018-05-05 10:12:00	8630330696303482287	1.00000	8.61789	10.91967	13.76914	9.46006	11.80711	10.79045	10.38525	1.09292	49.24416	56.92071	16.42187	68.81272	49.55723	74.64302	75.22896	50.87721	78.21701	19.67535	0.31276	88.74017
2018-05-05 10:13:00	8630330696303481685	0.00000	5.61535	8.21720	11.91367	14.14380	11.96877	14.39082	12.53863	0.08692	46.30130	52.25901	34.16550	48.71259	74.52763	71.27718	65.62364	79.97222	88.54979	51.74015	97.62549	93.49227
2018-05-05 10:14:00	3590433799317661826	1.00000	10.52501	8.92756	9.02073	15.37316	19.23511	10.43560	4.97002	1.18750	63.86261	66.82450	60.00555	17.02608	69.09340	68.22248	81.95768	35.22242	19.52398	64.66244	4.16056	29.12368
2018-05-05 10:15:00	3590433799317662287	0.00000	9.61033	12.85853	11.78266	8.07114	9.62947	11.52292	7.63762	1.11550	46.01577	30.16110	35.88230	74.55790	53.27436	66.95288	47.61556	4.71648	32.08398	48.28028	42.39522	69.87758
2018-05-05 10:16:00	3590433799317661214	1.00000	9.85575	8.24192	7.82727	14.49217	14.18469	6.91720	12.63515	0.15728	31.83993	37.33731	19.61182	34.76734	24.73211	79.61361	82.92533	47.26075	91.90211	99.46698	48.74885	21.08090
2018-05-05 10:17:00	359043379931766288	1.00000	13.00171	7.36212	8.24156	12.58127	11.12682	10.42797	8.19015	0.00557	46.12035	60.12067	52.82641	47.90888	46.51673	37.99610	22.63786	86.21538	85.27357	31.14571	63.21602	74.74590
2018-05-05 10:18:00	863033069630348057	0.00000	10.16189	11.31880	9.21887	7.93060	12.28893	10.08084	6.44931	0.05360	61.78997	37.36728	10.02310	85.84138	44.59863	42.59278	80.56829	56.34826	11.57016	94.03705	29.63429	12.22273
2018-05-05 10:19:00	3590433799317661057	0.00000	10.33625	10.30022	12.77631	13.20009	10.86780	9.00890	6.17276	5.82659	65.78414	34.98754	73.60210	53.89800	65.66671	75.22909	3.74553	19.70839	95.71748	80.01508	69.21083	13.68027
2018-05-05 10:20:00	359043379931766809	1.00000	8.43603	11.66037	13.28104	11.07707	12.42362	6.01347	9.57113	4.74870	69.57562	72.70010	46.27751	31.47729	61.82789	59.79693	40.97439	27.26578	86.09114	95.12815	82.58692	63.39962
2018-05-05 10:21:00	359043379931766320	1.00000	7.49530	9.55651	7.75267	12.89276	14.95455	11.86179	10.45624	0.65740	37.14016	60.12272	22.17725	66.19547	7.66056	60.23064	59.96914	34.02212	25.99690	22.91345	39.99076	20.05961
2018-05-05 10:22:00	3590433799317662360	1.00000	10.83679	12.56899	11.10934	7.25107	6.87163	12.41944	6.58588	0.57585	77.86536	55.30745	12.25431	30.20878	58.43248	66.14529	77.25294	51.96965	63.53233	26.53291	69.33547	53.65760
2018-05-05 10:23:00	863033069630348891	1.00000	10.95755	7.03230	8.26831	11.82683	13.21345	10.34868	13.28824	0.28848	25.77592	78.86517	58.38386	86.82405	23.55796	74.43873	85.99510	73.27528	35.25779	3.19107	85.47384	73.82327
2018-05-05 10:24:00	359043379931766650	1.00000	13.20101	10.49020	7.88095	9.95401	15.66846	9.82397	8.11994	0.00909	61.49661	59.09688	12.40043	98.07639	21.26078	78.36848	74.61921	19.75379	45.20827	31.68990	96.03287	37.74856
2018-05-05 10:25:00	8630330696303482162	1.00000	12.36630	8.46538	10.32956	14.45251	15.58692	9.73266	8.44016	1.01048	47.84251	88.92169	80.24211	64.96401	68.36614	82.38177	58.79331	11.18634	61.20993	13.88953	30.38048	52.60936
2018-05-05 10:26:00	8630330696303481511	1.00000	11.83136	8.99535	8.91373	10.01814	12.47451	10.56389	10.36258	0.14678	40.46641	57.50751	74.61846	69.17731	34.42792	31.80996	72.12557	14.59033	23.75410	35.60844	50.27091	53.67796
2018-05-05 10:27:00	3590433799317661032	0.00000	11.29178	7.37493	13.03162	16.40393	3.90448	13.05244	6.88564	0.08240	37.41397	47.01375	15.71139	26.25781	84.02114	11.59219	61.82956	3.78043	72.40153	70.13340	18.33938	99.97529
2018-05-05 10:28:00	8630330696303481552	0.00000	13.66500	13.02623	14.64733	5.03789	8.56024	13.95188	6.78953	0.13276	37.45353	37.75470	54.53138	4.69545	63.58143	5.45252	33.73476	93.70266	5.41895	53.49999	11.19957	93.90214
2018-05-05 10:29:00	3590433799317661974	1.00000	12.56112	10.42739	9.19640	10.46760	13.02735	9.85318	8.11768	0.08408	59.48419	64.94511	6.08342	5.95721	66.13844	5.48521	93.21362	85.84466	37.13715	1.04835	43.13738	47.73672
2018-05-05 10:30:00	8630330696303481792	0.00000	8.02118	13.01077	14.43630	7.62630	7.30857	12.98802	8.88983	0.30118	50.03015	62.94644	53.39335	25.04422	69.70176	40.17016	75.37212	1.05017	96.70851	71.25250	95.69347	1.34275
2018-05-05 10:31:00	863033069630348701	1.00000	12.16925	6.53569	7.94983	10.76969	13.80951	9.07979	12.39127	0.03463	44.36498	49.81943	29.74411	38.61466	23.94990	24.46971	55.83262	79.86227	67.03599	73.88727	71.27465	28.94913
2018-05-05 10:32:00	3590433799317662139	1.00000	8.46287	8.01990	7.99225	12.79886	10.38454	12.26285	14.48636	0.03702	60.82659	52.07876	12.21669	84.83659	30.07766	51.16671	22.55803	24.99416	27.24088	16.61022	0.65086	29.29507
2018-05-05 10:33:00	359043379931766049	1.00000	10.10268	9.72442	8.05079	12.75284	16.13866	9.91372	8.66913	0.05965	45.85692	33.77018	18.65853	90.55707	42.79382	76.63520	28.47847	99.52806	71.34135	35.09267	59.59041	53.35755
2018-05-05 10:34:00	3590433799317661008	1.00000	12.21222	6.62293	4.40177	15.80365	12.41282	8.70524	15.63065	0.03566	43.63011	63.27981	51.03764	51.02541	52.90914	12.82554	23.20451	89.10609	47.62363	57.53908	28.77549	4.89346
2018-05-05 10:35:00	8630330696303481263	1.00000	5.07013	14.10976	12.65928	10.77683	14.46009	7.09593	8.95021	0.02050	34.69788	46.64851	25.01099	70.08636	84.75746	45.69999	32.98214	66.40346	49.79824	43.61632	63.00778	57.95664
2018-05-05 10:36:00	8630330696303481685	0.00000	7.00795	13.92416	15.35150	5.62332	8.34627	11.23772	9.70600	0.10559	30.52744	36.96373	30.23692	87.49334	83.78603	9.47357	4.67775	21.20308	2.93889	26.35379	33.83438	85.94290
2018-05-05 10:37:00	3590433799317661081	0.00000	12.66768	14.48415	11.96805	8.82111	11.93200	12.19757	8.21707	0.67010	32.95290	25.78177	94.35076	3.39053	35.92613	77.89937	68.80699	12.62476	85.59161	22.31294	52.42612	20.39269
2018-05-05 10:38:00	8630330696303481933	1.00000	9.24889	9.39463	8.50131	13.08723	14.31428	9.05145	8.39698	1.35941	50.50843	50.57683	26.71279	0.52668	7.28071	44.77069	4.54426	96.56437	76.16927	31.91350	27.76525	47.00160
2018-05-05 10:39:00	359043379931766007	0.00000	12.90331	8.83831	13.42734	14.66589	9.22042	11.21892	9.77383	0.03887	52.47241	62.52982	49.85199	65.97656	36.08699	12.30766	36.70136	71.03642	18.89426	4.65412	85.91154	36.74565
2018-05-05 10:40:00	3590433799317661560	0.00000	9.43928	12.13548	12.57504	8.01359	9.81546	15.18873	8.20135	0.09436	60.32779	53.56281	14.57293	87.25090	77.92483	85.08922	68.71102	60.34004	65.10851	19.24380	2.81907	5.07491
2018-05-05 10:41:00	3590433799317661263	1.00000	4.64579	6.82580	10.94608	9.03971	12.70582	16.71043	13.79930	0.01477	36.01170	64.09824	1.19649	42.87951	45.55006	53.96005	81.70750	46.46763	55.75875	0.08871	53.55502	83.88350
2018-05-05 10:42:00	3590433799317662287	1.00000	15.51078	11.16045	8.84989	7.27255	14.69631	9.14444	7.49586	0.06492	50.35174	34.62015	38.08476	46.35762	84.70407	64.64107	71.16930	1.82496	92.55778	8.26977	90.67194	39.50034
2018-05-05 10:43:00	8630330696303482139	1.00000	14.96909	9.88636	8.11148	10.13784	12.80411	12.75076	8.63648	0.18947	54.79805	33.60546	98.51293	91.77165	62.88852	92.72783	79.47876	84.81084	58.70171	49.32520	37.34824	85.75330
2018-05-05 10:44:00	3590433799317661420	1.00000	10.57675	10.34673	10.82041	7.05560	9.45278	9.59016	8.66528	0.25668	38.05876	42.54846	74.53961	30.00853	67.27392	2.28209	58.33695	89.95967	5.45602	7.18094	83.44602	71.70105
2018-05-05 10:45:00	359043379931766643	1.00000	10.23659	8.99331	10.23540	7.57520	10.38336	5.40874	7.02970	0.01992	28.78004	68.67578	32.49535	52.64188	13.29249	23.44037	94.68098	34.32788	29.65357	5.44531	34.89837	17.90907
2018-05-05 10:46:00	3590433799317662436	1.00000	9.90061	11.81030	7.56357	12.61091	15.37894	6.05857	10.50628	0.11892	62.72612	70.86448	38.95872	7.71614	44.11752	29.37736	13.50050	89.48803	21.94781	7.09599	96.09944	42.93508
2018-05-05 10:47:00	3590433799317662113	1.00000	12.20967	9.07735	6.79300	9.96384	14.64373	10.70449	12.11805	0.61736	42.75977	53.07811	60.30770	66.77118	52.43158	33.11876	70.17617	24.61688	91.68124	79.21337	21.16344	20.72580
2018-05-05 10:48:00	3590433799317661297	1.00000	11.83894	7.36334	9.58716	11.85370	13.77191	10.29921	12.18588	0.78650	43.24356	52.46686	55.56953	94.60072	87.99739	87.05801	96.02413	65.48467	44.45939	89.42408	70.39889	55.21457
2018-05-05 10:49:00	863033069630348685	1.00000	9.86927	6.43833	10.57161	9.96019	13.62304	11.96156	15.12717	0.11918	45.12664	68.02859	60.01687	78.81375	13.98939	93.44566	89.16746	69.48921	51.44426	35.32261	64.94035	76.04372
2018-05-05 10:50:00	359043379931766049	0.00000	9.34017	6.32737	12.18871	13.13023	7.79782	13.11429	9.90043	0.02894	50.80619	47.52649	0.03512	91.02378	96.00976	82.92438	92.47323	17.33993	60.41868	85.80989	44.42121	91.95671
2018-05-05 10:51:00	359043379931766577	1.00000	7.43645	11.69568	12.26932	11.53652	11.33317	10.72132	11.13278	0.76365	70.89859	47.37570	95.50645	24.28861	87.92003	13.40991	27.89484	76.06701	94.32457	55.76909	37.83590	12.04818
2018-05-05 10:52:00	863033069630348222	1.00000	12.17324	12.51097	7.76158	4.62435	9.99164	9.50640	7.47736	0.08700	39.93975	53.48513	71.11427	32.05814	73.14865	55.85803	56.89917	38.31915	4.14856	23.54211	27.50783	71.86109
2018-05-05 10:53:00	359043379931766510	0.00000	7.41745	5.28458	14.27705	13.88738	4.58528	12.18097	7.55779	0.05435	35.41901	46.56305	31.20871	98.61161	75.34173	10.61493	82.00642	40.12894	39.75300	20.14462	73.32614	88.69766
2018-05-05 10:54:00	3590433799317661339	0.00000	11.46416	12.44054	16.53243	9.49510	9.67287	14.92935	9.45364	0.00579	52.76488	72.20461	17.26372	21.86794	59.98384	66.80015	28.42146	5.32603	9.88827	16.06233	10.21909	68.37843
2018-05-05 10:55:00	3590433799317661305	0.00000	9.46677	11.87919	14.07171	10.37507	11.42889	13.57913	10.12105	0.06865	64.84072	60.17106	98.09727	19.30709	11.74447	71.03985	45.25352	10.98478	55.33194	63.65614	93.01695	32.45023
2018-05-05 10:56:00	863033069630348784	1.00000	11.50737	8.18642	10.94704	10.70687	16.24723	6.38257	11.62829	0.46324	10.82796	36.39513	46.53683	83.60263	88.31183	33.15510	63.19197	1.20787	40.35624	41.10692	36.86569	7.44847
2018-05-05 10:57:00	8630330696303481313	1.00000	10.31627	11.65958	8.90368	9.20093	15.18411	6.54924	5.02258	0.04230	46.27203	39.09631	28.74349	38.18129	22.91103	45.88440	99.68940	85.31225	50.22814	63.71530	29.79041	2.07331
2018-05-05 10:58:00	863033069630348727	1.00000	12.85113	16.46961	12.15170	4.51753	9.32648	10.16795	7.64750	1.49495	41.92807	58.27914	96.02695	78.66790	39.10047	32.89391	61.51478	2.22281	76.21573	10.14999	87.10814	33.68585
2018-05-05 10:59:00	359043379931766460	1.00000	15.22766	9.65145	8.51292	9.49658	15.52120	10.19103	7.04361	0.05312	39.31852	45.64902	94.28561	35.24027	54.60173	3.32794	58.12201	92.60653	41.45806	79.01129	87.10135	27.89962
2018-05-05 11:00:00	8630330696303482139	1.00000	10.53875	7.07277	8.06533	13.70753	16.57582	8.29142	13.22146	0.51294	49.95835	52.87430	72.35838	23.18118	92.46868	37.54887	21.93540	95.90170	90.93863	56.19072	20.08341	53.45333
2018-05-05 11:01:00	8630330696303481057	1.00000	8.69087	8.84637	13.30486	8.43326	11.55690	14.92085	11.80275	0.04110	60.22845	48.22158	23.42413	30.75942	44.74226	11.64196	13.94630	13.13735	36.74962	6.72856	49.66496	39.13430
2018-05-05 11:02:00	8630330696303481941	1.00000	10.96918	8.92407	10.72178	10.72413	12.59940	11.30048	12.69780	0.34598	65.67295	52.63022	8.67744	93.05043	48.68375	50.44503	16.96726	45.78634	0.30885	62.38937	7.43210	57.70087
2018-05-05 11:03:00	359043379931766734	1.00000	8.94659	9.47818	7.49199	14.34139	14.93019	9.20233	13.14485	0.01672	59.94450	54.38922	86.01523	70.63371	50.90543	7.24672	63.08291	30.59298	15.80360	79.23020	19.41631	64.39079
2018-05-05 11:04:00	359043379931766510	1.00000	11.42207	9.66525	8.47525	11.09186	12.50695	12.14701	9.16268	0.14275	34.06869	48.84880	25.28575	19.87240	43.97576	38.87661	51.40209	34.81807	65.04215	68.10272	39.93979	96.56232
2018-05-05 11:05:00	359043379931766528	0.00000	11.68802	10.35357	6.10610	10.72903	16.82346	8.68491	8.05252	0.01433	40.81035	46.82324	2.06017	39.89643	73.21363	22.80531	74.39715	87.59925	94.30977	54.82496	54.71402	24.72584
2018-05-05 11:06:00	359043379931766775	1.00000	12.85487	6.99737	9.17336	11.46013	11.35548	10.81652	11.56846	0.18751	35.89717	46.93924	99.78798	23.88079	67.66942	17.25128	96.44867	3.22001	84.56094	9.23518	89.56756	26.84581
2018-05-05 11:07:00	863033069630348925	1.00000	8.51426	10.11435	7.49485	13.92867	13.96633	11.07467	11.04630	0.46660	55.65082	64.55281	70.76759	70.23332	7.56462	86.29238	88.85514	72.64241	9.94064	10.84315	48.04674	76.78166
2018-05-05 11:08:00	8630330696303481826	1.00000	8.50916	8.88138	11.42517	11.12926	11.14010	9.87672	13.14564	0.07890	55.73108	39.50804	46.08006	98.64103	7.07512	63.09289	23.89196	82.46789	67.56084	76.05955	23.78589	2.78535
2018-05-05 11:09:00	8630330696303481222	1.00000	6.33789	8.83230	6.99024	15.14296	13.10466	4.85048	13.14781	0.01765	57.12021	43.93633	61.63072	15.84748	60.41546	68.16808	41.11453	70.54095	63.94984	12.51420	2.16882	33.08119
2018-05-05 11:10:00	359043379931766940	1.00000	10.81438	8.94606	8.84151	8.65277	10.63401	8.75844	7.95896	0.03666	46.60792	68.80468	49.91768	5.03578	0.63890	23.53373	77.66314	21.64775	84.94358	76.14938	50.61524	24.77369
2018-05-05 11:11:00	8630330696303482402	1.00000	10.45679	11.19249	9.49721	14.91736	10.38502	5.23929	10.12793	0.50946	53.18952	42.12476	82.14455	38.10671	35.80219	4.12261	99.33064	79.50594	38.60297	48.68043	92.33476	55.78974
2018-05-05 11:12:00	359043379931766932	1.00000	14.98840	9.20845	10.99998	11.17213	15.66170	9.03600	7.48113	0.03525	53.67043	45.63166	39.01792	25.21542	46.12665	29.50810	14.98466	20.09546	59.53806	25.21794	71.94586	96.39970
2018-05-05 11:13:00	359043379931766114	0.00000	13.42034	9.80393	7.13834	14.31907	12.88371	6.64999	11.08032	0.08651	24.88858	40.04536	40.05790	15.50273	78.75858	54.29860	93.40520	94.01260	30.54760	22.49927	96.10087	8.10263
2018-05-05 11:14:00	8630330696303481701	1.00000	9.53335	4.01423	7.62077	10.66779	13.69679	12.29402	16.61424	0.01447	62.82962	60.93651	50.46606	72.94606	74.24831	25.47609	57.36682	96.23524	82.06085	42.20598	85.37422	55.74105
2018-05-05 11:15:00	8630330696303481578	0.00000	8.98700	7.20417	14.36078	12.09545	9.52947	12.39064	11.24956	0.02145	47.65372	53.42826	34.25145	19.78812	14.77877	23.45480	88.31581	87.85453	85.04103	66.44133	47.75722	99.67587
2018-05-05 11:16:00	3590433799317662428	0.00000	10.19983	11.78350	11.59795	10.59770	12.24390	11.69015	8.59425	0.02604	45.58973	56.97636	6.99129	92.68208	94.44728	25.33078	26.67893	85.78699	77.59979	90.63809	72.49846	59.79992
2018-05-05 11:17:00	8630330696303481628	1.00000	15.77924	8.99112	8.08992	14.01533	17.48272	5.36901	11.64680	1.54305	36.04081	36.77719	32.54859	42.04269	2.42535	67.28939	50.56065	30.77266	37.35364	95.61494	14.32334	49.99854
2018-05-05 11:18:00	359043379931766502	1.00000	11.22855	10.19166	8.89505	9.58397	13.58291	10.43071	10.07279	1.60316	49.14774	20.28707	14.54627	96.86876	44.18414	69.74936	3.41885	17.68319	63.33942	65.33639	85.62726	79.20283
2018-05-05 11:19:00	359043379931766858	1.00000	11.92839	7.95648	8.91988	10.35416	14.26632	6.69069	8.27337	0.80825	60.01767	21.54042	73.17409	66.85236	28.72926	71.84530	77.25645	58.24115	49.01382	13.73256	68.55790	21.95621
2018-05-05 11:20:00	3590433799317661875	1.00000	10.41571	10.29083	9.87373	12.26022	14.64883	8.38276	5.34584	0.09263	60.44218	57.54314	48.49505	34.86414	66.18447	77.71206	84.85471	41.78984	65.32799	23.08980	63.82211	23.75642
2018-05-05 11:21:00	8630330696303481891	1.00000	7.04696	13.08406	10.42820	13.60574	9.63028	4.03845	7.65487	0.40410	60.08960	61.72545	81.73703	66.13454	3.21337	66.62621	46.18030	5.45910	7.85624	78.12614	63.56187	5.05729
2018-05-05 11:22:00	8630330696303481123	1.00000	8.29852	10.44177	12.52091	14.33169	12.13803	14.35874	12.44600	0.06239	39.28654	58.42360	12.17008	0.43550	68.22552	71.23332	96.61949	48.07825	36.21865	24.39168	9.76826	67.61211
2018-05-05 11:23:00	359043379931766874	1.00000	8.07472	9.04575	14.77883	9.14970	10.16821	11.95251	12.95297	0.06417	55.93855	50.27179	70.18344	34.67072	58.62709	24.33414	37.48639	5.38579	39.26103	16.91022	17.09062	17.77331
2018-05-05 11:24:00	863033069630348214	1.00000	14.73555	5.63502	10.79697	11.16471	12.07085	10.67454	13.63973	0.14472	32.75641	46.15033	63.70579	3.18556	2.20630	33.26068	74.60909	54.61057	80.68422	25.60748	52.37000	0.45406
2018-05-05 11:25:00	863033069630348842	1.00000	10.02741	6.33929	9.16177	11.11500	13.22691	7.88178	10.46912	0.20581	53.33046	50.80118	65.20020	11.89386	24.40179	50.57571	80.25751	37.31629	42.19022	22.83102	15.89084	78.53591
2018-05-05 11:26:00	863033069630348966	1.00000	15.71480	10.36367	7.66550	7.86301	14.27069	11.70057	12.43026	0.04366	66.27058	40.34004	40.09054	68.71440	50.00385	53.52722	50.79233	78.57492	54.62314	87.14496	0.76727	78.12634
2018-05-05 11:27:00	359043379931766510	1.00000	10.74910	8.18704	8.33262	14.33328	19.01884	10.59306	9.50543	4.06632	30.90144	56.88807	1.63587	75.51645	67.16864	19.33456	19.05415	59.47909	5.25842	17.04846	27.08878	45.86612
2018-05-05 11:28:00	3590433799317661586	0.00000	6.99419	9.95992	13.61516	10.05214	9.46670	10.61864	7.11492	0.35663	56.02771	47.33836	87.84711	76.40890	15.56233	1.83696	82.17552	48.48854	78.41341	50.41270	0.82328	50.35485
2018-05-05 11:29:00	8630330696303482451	0.00000	10.00078	12.23009	12.00094	11.20438	9.59438	11.26754	9.64534	2.90298	59.36890	51.27524	62.78511	25.09359	40.55973	52.69999	17.55742	39.30759	80.16522	53.94575	72.23592	66.04200
2018-05-05 11:30:00	3590433799317662212	1.00000	9.57609	8.51074	7.85490	11.36281	9.94554	15.14987	14.77565	0.00144	62.02092	31.37076	45.79507	17.49354	73.21497	23.30474	88.94659	1.14537	17.02679	52.83273	56.78471	72.57553
2018-05-05 11:31:00	359043379931766437	1.00000	6.48179	10.92286	8.31638	13.10113	13.28509	10.17632	12.15963	0.07817	45.72736	44.40680	55.05585	16.65190	13.29892	37.17333	24.79479	59.13520	93.17539	76.80501	56.96463	0.32091
2018-05-05 11:32:00	863033069630348024	1.00000	6.32376	9.53745	9.49963	14.57846	11.59735	9.61112	13.56477	0.11131	40.19640	51.73955	50.78784	81.34478	53.47909	64.02139	50.43540	9.96016	28.39186	10.70288	74.98510	80.83594
2018-05-05 11:33:00	863033069630348404	1.00000	10.56345	8.39778	11.89091	11.33321	8.64570	11.98384	9.89287	0.00230	38.83876	51.08238	2.98534	9.34816	6.53620	59.77635	91.08233	45.98920	82.53374	4.36946	58.29268	24.17898
2018-05-05 11:34:00	3590433799317662006	1.00000	10.74499	9.82721	7.20390	7.76568	10.59325	11.44066	13.01150	0.26777	39.85280	47.71574	2.29652	38.37513	79.07430	82.78313	59.37318	54.31839	1.28937	58.89371	85.02703	67.41994
2018-05-05 11:35:00	3590433799317662105	0.00000	10.74150	12.72987	11.81624	9.77158	7.57569	11.02719	8.43134	0.07311	52.19813	41.74853	64.28355	55.12087	13.55789	47.56720	96.96746	64.68827	93.11095	84.19044	79.49243	76.33533
2018-05-05 11:36:00	863033069630348941	1.00000	9.42038	10.19126	9.48832	15.26525	10.24619	8.97229	11.95866	0.29078	48.53235	59.87932	67.15067	38.30832	30.59322	18.05187	27.69324	40.26494	99.58988	41.18806	79.51211	56.19272
2018-05-05 11:37:00	359043379931766817	1.00000	8.77896	3.87828	5.50853	16.26907	13.02658	10.56342	21.09848	0.00133	39.02029	69.01272	47.98444	73.83484	59.40474	57.23862	9.28096	64.73400	55.91686	50.13361	6.52931	88.35338
2018-05-05 11:38:00	359043379931766478	1.00000	11.32806	9.43303	8.77578	8.83336	8.46194	9.41430	8.15333	0.50899	36.10214	36.86889	5.69133	1.53272	13.45262	36.91039	8.06562	11.82491	22.13410	5.67423	28.45416	97.97319
2018-05-05 11:39:00	359043379931766981	0.00000	10.04453	14.84032	14.12861	9.47326	10.09356	13.65030	10.31559	0.00423	62.90049	62.10494	61.29541	2.14569	76.01545	97.52730	83.17965	46.80462	9.86848	57.88017	39.88752	7.78923
2018-05-05 11:40:00	3590433799317662071	0.00000	14.23491	15.65555	11.67978	8.43172	11.60482	13.34538	8.52425	0.09599	80.41041	27.67139	30.62256	2.44796	83.23979	38.89445	13.58867	83.24921	43.33234	95.49351	78.02181	13.15847
2018-05-05 11:41:00	863033069630348792	1.00000	8.09023	12.56591	10.96306	13.33212	10.23621	6.53880	12.55566	0.08372	60.75202	35.50663	47.71489	32.76566	37.22644	82.05990	67.48687	57.87458	62.84489	70.54304	79.94247	13.44628
2018-05-05 11:42:00	8630330696303482204	1.00000	7.93140	9.41745	5.87348	14.20259	17.23639	6.90028	12.07074	0.00834	27.52749	30.63840	92.12411	11.67183	21.52650	53.74577	62.03860	99.25889	98.41352	71.70414	33.57310	24.28694
2018-05-05 11:43:00	359043379931766783	1.00000	11.07016	9.87733	10.44762	8.75132	9.88584	9.52912	8.06346	0.01614	42.60665	73.55345	32.35701	82.57944	41.64835	41.93226	12.10004	2.09355	10.65047	71.99216	35.40626	72.34047
2018-05-05 11:44:00	3590433799317662097	1.00000	11.86466	7.10348	5.25166	11.84384	13.46336	11.09199	14.50393	0.00656	50.88619	51.49844	43.21350	80.02343	94.76433	31.34111	39.49824	11.63429	4.84967	82.63115	66.52742	61.12146
2018-05-05 11:45:00	863033069630348909	1.00000	14.67151	12.06435	8.66712	6.50640	14.96456	9.09349	6.46797	0.06468	45.78838	35.88250	84.42905	88.99376	43.07845	33.41376	2.09234	60.72899	54.04960	35.42420	9.70159	68.01195
2018-05-05 11:46:00	863033069630348453	0.00000	11.20266	12.90077	12.76162	10.39710	9.91079	13.96598	8.39490	4.41773	60.78329	38.19013	56.29392	74.85957	32.89121	9.12158	18.65598	62.23842	92.24229	94.80530	80.07644	5.43578
2018-05-05 11:47:00	359043379931766122	0.00000	11.03396	6.55657	13.27074	14.20465	6.16886	12.19944	7.12431	0.02774	57.37503	58.24152	54.92935	77.91630	70.08733	44.77917	41.89681	99.97942	49.46747	61.97831	78.91499	71.52223
