,latitude,longitude,code,mwra,p.android.packageinstaller,p.system,p.android.externalstorage,p.android.documentsui,p.android.gm,p.android.settings,p.android.chrome,p.olauncher,p.inputmethod.latin,p.android.gms,p.android.defcontainer,p.android.vending,p.dogalize,p.simulator,p.google,p.process.gapps,p.katana,p.gms.persistent,p.notifier,p.browser.provider,c.katana,c.dogalize,c.android.gm,c.android.chrome,c.android.youtube,c.UCMobile.intl,c.updateassist,c.UCMobile.x86,c.android.vending,c.raider,continent,day,hour,minute
14481,52.41667,0.75,GB,1.0,11.29924,10.37727,7.5536,13.97663,12.75992,6.44527,9.97235,0.12053,72.68668,46.06554,84.29283,17.20597,57.09552,52.51128,24.79619,29.75953,32.28699,13.75708,34.91527,90.57816,13.34052,7.91847,17.0365,9.60991,7.79467,53.74688,55.51783,45.58533,23.34292,26.21731,3,15,11,21
1745,29.69221,72.54566,PK,0.0,9.35066,14.59737,11.84167,8.02975,10.50277,9.97175,8.42995,0.37468,67.27233,56.4197,39.97535,96.14307,90.51678,68.5941,8.83731,41.78949,82.61707,90.95183,57.03025,74.29087,14.47607,10.81849,11.19372,9.36697,11.72506,55.54722,52.51415,30.03123,31.14566,71.15402,1,6,15,5
9152,-17.73648,168.31366,VU,0.0,4.92201,13.69494,14.44159,4.81913,9.24533,12.40129,10.80784,0.67808,68.12269,67.29771,14.58941,13.53081,70.27582,58.76167,96.91874,70.70001,50.20036,86.97281,22.82251,56.12599,15.06908,6.72387,14.70452,10.89078,13.3096,46.91477,57.01238,58.39248,45.87317,61.59865,7,11,18,32
9992,33.41012,-91.06177,US,0.0,11.43214,14.92194,11.15307,6.64896,11.93125,12.34964,8.20587,0.29214,37.33902,60.07258,7.30291,12.29972,61.59847,16.57441,23.72745,78.15557,53.72596,14.9628,8.59994,91.87975,14.22702,11.78474,10.61175,12.4403,12.84819,57.51072,54.69296,54.64907,84.17001,36.61033,2,12,8,32
3274,24.41288,76.56719,IN,1.0,12.30978,11.1996,9.44932,6.17109,11.04268,7.97812,9.58424,0.05091,51.00181,65.32608,59.94408,70.50044,6.46379,19.68501,75.4864,7.39266,43.47199,90.76729,63.34252,85.50697,12.47488,11.99391,15.42711,10.91396,12.17206,64.52393,46.26078,23.40444,48.41333,4.85814,1,7,16,34
5156,4.2475,9.00472,CM,0.0,11.06277,13.59558,12.89157,9.09976,9.24996,13.21134,8.80458,0.08169,45.36642,92.45348,18.71485,21.8307,24.63288,81.65475,21.5304,76.80092,29.10655,89.88946,81.75984,31.56731,12.95022,11.09187,13.96148,13.34438,13.24695,52.75485,63.96743,70.32914,37.82306,92.00562,4,8,23,56
12104,27.55898,68.21204,PK,1.0,13.41032,9.18572,8.20805,11.52367,18.202,8.85799,11.28278,0.04815,56.03185,30.51607,66.7165,75.8925,2.99889,9.41898,27.39848,42.09618,84.47368,88.33728,61.50781,9.75988,12.42456,10.42442,16.9315,6.18871,8.02622,82.61467,70.95119,24.55049,19.56031,30.66762,1,13,19,44
1856,43.91452,-69.96533,US,0.0,9.07445,13.61528,15.54271,6.55849,9.81902,14.32962,9.85968,0.2106,54.42989,65.35542,32.86246,56.2147,75.84116,45.31793,58.37184,91.96593,89.06404,11.49032,23.664,6.57179,13.90005,8.34675,12.95178,13.87005,13.59315,63.97044,43.4097,58.26456,63.25047,9.89772,2,6,16,56
8318,41.09822,120.74792,CN,1.0,10.00716,7.12374,8.40885,11.21042,15.15343,8.03427,10.58232,0.21686,37.71347,36.51726,84.43344,55.52733,92.57711,80.709,65.45445,37.07053,52.79413,93.29062,65.95904,94.29711,13.92827,9.51931,15.62602,11.68288,11.89762,65.26224,60.32627,62.11217,9.30576,43.03533,1,11,4,38
12675,41.63976,2.35739,ES,0.0,9.6055,9.15323,11.77551,12.92497,8.40875,11.01488,7.0895,0.0484,47.2111,35.76407,86.22067,27.83655,25.39323,58.99569,46.89236,32.70392,91.1649,68.54346,52.90701,94.29841,12.43226,13.62414,8.5444,12.82087,12.81843,52.93935,68.04619,29.44418,8.48684,58.23194,3,14,5,15
1463,33.41012,-91.06177,US,0.0,10.91335,13.2573,12.44337,7.19329,11.70815,14.94862,8.96064,0.10415,44.26302,63.76095,48.99435,61.76425,98.799,37.79079,83.78741,47.28105,36.8729,77.48136,20.13659,70.25648,13.19296,10.40191,11.59341,15.26023,13.25443,53.34,64.65047,63.03474,23.40625,26.40402,2,6,10,23
12071,38.13708,41.00817,TR,1.0,8.47775,9.80875,8.64377,13.58769,13.0571,8.75515,13.29428,0.19417,51.08714,45.80571,87.34864,39.05871,29.15189,67.54471,34.22415,46.63346,18.33122,70.26546,8.3808,69.1678,13.81907,10.30314,11.54945,9.8059,10.40203,55.12762,49.88508,49.57392,46.68433,71.57097,3,13,19,11
9718,46.7055,38.2739,RU,0.0,6.94104,7.34283,12.20735,11.37504,6.25359,12.49698,7.41203,0.02749,70.62689,41.55893,91.2773,76.48679,61.45135,62.65644,80.1462,28.23997,78.34448,8.49786,14.87061,52.54855,11.86515,16.58213,14.04635,11.05715,11.27416,74.9675,65.53079,75.56652,54.02918,34.0345,3,12,3,58
3255,-7.51611,109.05389,ID,0.0,10.04763,8.12319,12.965,17.40027,7.63757,10.38785,6.98405,0.89369,35.62252,68.11275,25.0457,78.63668,87.64349,14.79051,64.90314,24.00482,77.07268,65.54412,45.91721,98.45205,15.3455,12.47477,6.75357,11.13382,15.4224,67.31184,57.41878,38.26315,80.32772,23.92109,1,7,16,15
9773,49.195061,16.606836,CZ,0.0,11.17348,8.86771,6.01649,13.83897,13.82869,9.76342,14.7579,0.00616,61.35957,53.02616,54.47389,3.10577,88.6887,19.36173,69.06863,95.62957,12.54741,84.31426,13.406,45.39436,10.33273,9.71024,14.82063,9.62579,10.1382,61.90234,29.90022,57.74158,30.46992,38.21706,3,12,4,53
9219,13.51825,99.95469,TH,1.0,10.69319,8.35395,8.1428,14.59417,12.87906,5.92903,16.2397,0.0059,40.91847,62.09487,42.36224,14.67339,89.31062,69.77317,48.83463,10.76308,97.80473,23.26977,14.20617,49.84493,10.31414,10.96672,11.6217,9.77489,5.95979,48.22857,42.48154,54.26669,42.03602,42.01256,1,11,19,39
607,-25.42944,-50.00639,BR,1.0,11.39778,8.79181,8.36629,9.28848,11.97098,9.71202,10.27658,0.74882,41.56373,37.31103,66.63213,84.15568,75.11297,20.2821,35.11002,85.38898,92.87816,75.33233,56.20662,97.51156,15.16822,11.06208,15.47829,10.17358,11.02304,50.41482,81.0895,63.50187,46.46904,29.86501,2,5,20,7
4976,36.53333,136.61667,JP,0.0,8.62388,7.65954,9.80824,13.37662,11.13848,8.49489,14.80754,0.06106,33.64437,52.97775,73.05173,5.43627,99.24265,14.66195,10.55002,29.78631,2.16648,71.20714,1.49569,88.532,12.66006,7.83501,11.17705,10.92375,10.35734,59.14703,55.1046,55.22665,4.02739,66.77414,1,8,20,56
7932,6.46346,-2.31938,GH,1.0,12.93582,10.09938,8.27003,6.66919,14.01373,7.97755,10.69341,0.13593,35.11149,54.16133,92.12868,33.11671,2.73739,80.77729,90.84173,41.57372,86.36356,71.91547,74.84175,99.84782,13.46152,13.26631,13.85915,13.91718,13.36879,55.45623,39.67086,49.25269,84.46872,88.92494,4,10,22,12
993,51.24197,4.82313,BE,0.0,14.2772,10.73249,11.3191,14.15322,8.64856,11.30032,9.11203,0.37682,47.94435,57.07062,34.98851,21.48182,61.23645,67.7204,56.34618,75.14638,40.96849,98.51951,42.73179,46.90587,14.48108,12.78045,8.75909,12.85012,15.59221,73.10052,52.95132,38.64441,69.87185,59.24694,3,6,2,33
7554,23.1959,86.51499,IN,1.0,13.05774,11.02875,9.18491,9.67635,13.74054,9.17215,5.28694,0.06508,36.40588,53.81477,83.55229,62.98557,91.48655,9.03349,5.12631,29.43341,85.56227,58.64426,14.1317,47.89073,12.72206,14.94607,14.22424,13.4937,12.89798,46.85348,23.60732,64.62032,88.75579,89.28558,1,10,15,54
10797,40.93333,73.0,KG,1.0,11.98552,8.89192,10.66662,7.58542,12.98158,6.26197,8.31178,0.22326,48.50305,33.30618,20.67593,82.49086,64.82317,43.66813,30.47903,85.6422,31.82296,24.1571,92.48476,67.66006,13.95808,13.29676,15.32827,12.902,13.40407,55.47201,62.49132,65.3643,67.25999,92.67005,1,12,21,57
7879,49.5099,6.74549,DE,1.0,10.41651,11.76376,7.37281,12.40455,14.03306,9.44556,10.82873,0.01811,59.17165,54.43588,32.51834,11.78668,99.47216,45.6885,5.2783,47.37131,90.03579,85.68799,76.0879,53.07658,11.44375,13.94223,14.50196,7.11602,7.25971,66.7122,62.81158,62.15437,86.79479,24.23128,3,10,21,19
7723,68.79833,16.54165,NO,1.0,9.88029,12.39606,9.34028,12.38187,15.04865,6.35344,10.79635,0.04547,48.39765,62.19833,45.19925,3.70124,96.05244,7.69301,55.62211,26.87724,91.72259,56.34443,13.54236,46.3666,12.36421,12.3912,12.88137,6.77285,6.98016,51.43453,46.85422,63.98844,95.9219,42.85875,3,10,18,43
6565,34.31,-2.16,MA,1.0,7.1859,6.23935,10.42655,9.79461,9.30333,14.19608,13.19543,0.36797,30.41672,62.05578,77.0313,94.87215,89.86795,18.85403,80.69488,13.37623,7.31553,99.17834,53.93113,45.79586,14.45789,10.00943,9.64038,11.11849,10.16526,66.86608,70.21935,53.4529,94.85292,0.52655,4,9,23,25
6790,11.84962,-86.19903,NI,1.0,13.5741,7.96001,7.58048,14.47805,15.83755,11.99194,9.78992,0.01437,62.75044,47.85788,71.87248,96.0488,6.34053,92.57353,37.72401,5.9128,17.19686,30.52139,53.21627,77.5884,11.20012,10.00005,8.46385,13.25733,12.77634,52.71577,50.45125,47.46421,48.74768,23.59895,2,10,3,10
14738,35.05266,-78.87836,US,1.0,12.17627,13.43356,6.94519,7.07016,13.17775,9.51381,6.79334,0.07559,93.01443,37.45868,36.60797,28.75002,53.13422,75.29701,2.84476,30.93633,63.42735,87.60602,33.25961,78.26553,12.87417,16.18557,16.23087,13.79221,11.69711,54.98294,54.31359,28.97334,38.56853,47.44998,2,15,15,38
2269,39.08367,-84.50855,US,1.0,15.41831,7.00266,10.65242,9.46073,12.93903,7.74947,8.15676,0.03494,48.56066,49.38702,23.2891,44.34527,61.905,74.31415,7.53669,44.79969,78.74268,70.66425,44.90759,4.52213,12.09931,10.03178,16.27847,9.92055,15.6486,73.60726,32.34726,42.36432,47.2458,0.26046,2,6,23,49
8162,15.73628,75.96976,IN,1.0,16.31507,6.61441,8.44818,10.82867,15.49776,7.71112,9.62599,0.01577,53.78889,56.68795,93.94723,99.83075,90.04627,24.35023,48.40115,4.47508,90.14964,69.25236,91.7899,98.56666,11.29097,14.51737,11.74265,12.24423,16.50292,62.99861,47.81683,34.74462,26.0048,22.08666,1,11,2,2
6584,53.37596,51.3452,RU,1.0,9.33605,8.86418,8.0853,12.72297,13.83093,10.00083,15.22363,0.00169,57.63056,48.62573,92.05017,71.20143,14.37486,48.86325,32.51638,22.77782,33.31138,19.77299,72.18776,18.40509,8.99395,9.78303,11.94449,8.04774,8.65351,62.59349,40.1654,35.96612,16.18675,83.52336,3,9,23,44
442,10.61285,12.19458,NG,0.0,10.07476,10.22357,11.77418,14.85883,6.0935,10.7419,3.7142,3.56739,57.73518,39.41442,24.85334,48.4063,54.90792,65.01905,91.72016,68.66636,72.68068,18.42115,63.78461,5.08232,16.72961,13.06907,8.13245,11.61725,12.73596,39.43787,57.32011,72.30268,21.50379,86.70861,4,5,17,22
2089,42.35843,-71.05977,US,1.0,7.14719,13.86863,10.28235,13.61176,11.22664,8.96711,8.28119,0.01461,37.06336,52.46724,99.9971,50.99142,11.78653,16.55176,58.25566,54.69414,4.3161,32.07154,81.42237,6.78346,11.23888,8.56164,12.39103,5.93834,8.03533,45.24175,69.00107,38.2445,37.91372,21.91837,2,6,20,49
7552,-3.14306,-58.44417,BR,1.0,10.74626,6.01836,11.73303,12.0882,10.18159,6.87346,6.99485,0.08522,53.36123,78.11956,96.36814,39.67883,5.14625,25.28333,29.67034,33.53999,26.8439,52.26566,8.40053,16.90086,12.99381,10.30236,14.43737,11.24814,12.76226,56.37961,43.83455,57.74186,29.96287,94.18027,2,10,15,52
205,19.32889,-99.32556,MX,1.0,11.8417,10.14244,9.1124,7.3148,13.20611,7.9962,7.9488,0.82295,49.61176,52.39327,84.00236,83.68483,70.09041,37.3436,88.30341,7.4912,57.14742,55.19371,28.6211,25.14405,15.26279,15.99349,16.36199,12.70855,12.21632,83.48143,53.33405,48.96728,70.65736,88.96213,2,5,13,25
10991,-6.8,39.25,TZ,1.0,8.40526,11.13928,8.54018,11.2281,13.47811,14.45782,6.3619,3.85658,46.58636,40.37705,11.9655,10.73268,33.48334,61.5293,47.09061,35.23574,64.74934,4.39398,34.38617,40.99994,16.80754,11.84845,5.74322,16.00267,11.11074,76.64112,50.91159,57.7521,0.53821,15.79931,4,13,1,11
12538,36.08497,9.37082,TN,0.0,10.04641,11.69372,13.75385,7.55288,7.54092,13.95841,8.55684,0.00449,51.01008,40.56287,8.78237,48.9346,73.75402,79.58543,62.7504,99.99318,10.64339,8.3169,24.31479,24.58474,10.03098,7.97415,11.59823,15.11716,13.32377,68.09489,55.43377,42.69545,25.42256,86.33054,4,14,2,58
7218,41.8542,-87.66561,US,0.0,6.77068,12.89804,12.30361,5.75875,7.07713,11.36665,8.67762,0.01132,59.56391,43.11754,26.11712,40.21157,49.307,11.47512,65.14906,97.85405,39.36789,68.61893,45.77359,63.56827,10.9858,7.93774,12.69165,11.21763,12.92794,52.4909,50.90563,53.46604,59.1275,29.81082,2,10,10,18
10736,49.5099,6.74549,DE,1.0,12.72176,5.95551,8.72943,11.58689,11.84213,11.08168,14.15917,0.05073,53.84396,48.37355,25.67726,89.68641,10.8691,80.5025,61.98741,6.4388,2.01148,8.27895,75.91629,99.47223,12.47256,10.31006,15.50301,10.6752,7.5153,51.79805,34.66784,38.62601,95.9799,88.25734,3,12,20,56
4996,44.27804,-88.27205,US,1.0,8.44423,8.22339,7.51402,15.33926,14.60388,5.93185,14.03265,0.09388,50.41971,61.97203,22.32066,21.96642,19.61755,63.21214,70.03541,86.62969,44.03087,14.22124,65.53189,70.41455,13.08974,7.60244,14.13273,9.20826,8.04986,67.27989,55.1404,26.96418,86.73892,35.43455,2,8,21,16
13940,7.65649,4.92235,NG,1.0,13.88471,7.48623,7.69312,8.98407,14.34342,8.69988,13.214,0.0046,56.42433,32.89805,11.49665,80.52484,37.17218,91.46358,27.47118,32.61811,23.74787,34.99806,85.53933,36.57239,10.04638,10.15059,9.46761,13.43116,14.47085,54.61991,42.00596,46.31122,61.18799,79.73506,4,15,2,20
5471,19.64745,-102.04897,MX,0.0,8.00908,10.85645,14.97262,9.49326,5.10758,13.96863,9.63387,0.03019,62.95147,52.71244,19.6593,56.41889,13.03939,10.63045,2.44741,99.47721,48.81029,46.30977,19.62141,8.76861,11.94917,5.85294,16.67251,13.90622,13.55294,47.49199,58.73835,63.37342,57.22432,80.56946,2,9,5,11
5405,20.88098,75.11937,IN,0.0,7.66654,9.54878,13.0317,13.22544,10.8192,13.60257,10.28417,0.08317,62.8335,52.45647,61.68736,7.51984,38.63343,36.88081,27.70325,3.54104,6.77972,21.51395,31.26169,0.4023,12.96756,12.6176,9.25015,13.28218,13.11067,79.09898,46.511,45.59108,81.64893,38.01595,1,9,4,5
7652,-0.35817,42.54536,SO,0.0,5.64775,10.0783,13.50118,9.94631,10.66005,11.04603,9.42273,1.28277,48.13226,61.60399,13.35035,80.21804,43.61698,73.7028,44.44661,44.56547,6.26765,10.45942,67.09959,87.44653,15.70676,7.54967,9.69088,9.55305,9.5562,55.79073,56.81674,41.68283,93.39041,31.12683,4,10,17,32
11344,36.21544,65.93249,AF,1.0,10.15274,10.69192,11.86319,10.62417,10.1297,9.43985,11.37128,0.04632,41.59187,50.35763,26.12704,24.99306,75.09071,6.07511,91.41584,71.4065,90.00131,90.4876,29.44244,57.24784,12.38073,8.00032,11.97342,10.20827,9.23478,77.06789,57.7368,37.33228,14.85969,29.26051,1,13,7,4
11752,21.53889,71.57737,IN,1.0,13.23576,4.59794,7.42958,11.32876,15.3947,12.24048,15.72433,0.03101,58.34528,44.45702,9.95519,3.22815,74.54964,6.75959,50.09918,6.0264,35.17085,40.24313,3.63467,67.12226,11.98613,7.2549,16.57828,10.28123,12.26719,74.35156,58.19027,26.35989,53.94716,46.87294,1,13,13,52
11261,6.95194,121.96361,PH,1.0,14.18532,9.02865,8.38628,7.62201,11.42329,8.53849,10.00531,0.02171,58.4648,40.50539,38.84675,55.70266,71.62858,79.44452,58.07736,38.99197,5.93721,77.19034,62.25183,2.8903,11.61789,13.57187,11.53513,11.95394,13.64404,51.07124,46.41333,63.98464,90.15597,7.25611,1,13,5,41
2655,18.20854,-71.10077,DO,1.0,6.85689,9.26519,8.59073,12.86745,14.43356,8.86379,13.49421,0.4533,60.92911,42.86811,90.04228,8.40536,39.01584,81.20776,82.72711,51.28894,38.64206,73.94095,2.70249,76.46819,14.6662,9.59458,13.13253,9.71078,11.08434,53.67319,42.05786,61.71084,40.14955,93.94536,2,7,6,15
6036,-21.44236,27.46153,BW,0.0,11.56784,11.14402,13.81599,15.2357,13.53825,12.22329,13.17074,0.10564,53.6357,52.20863,31.9609,93.64311,79.72869,15.5747,85.58637,42.58512,69.09002,4.39548,33.00633,53.84584,13.21003,11.63251,9.19251,14.32138,18.36377,75.34411,37.39384,42.16689,3.83553,58.34353,4,9,14,36
6505,48.28259,9.72749,DE,0.0,9.50912,14.31464,12.98045,7.74788,8.56359,12.18625,8.89097,0.49793,34.53354,55.41093,23.59202,23.14555,63.41816,68.74105,96.32562,34.61435,19.38341,1.91616,55.47702,1.33373,14.76013,10.12871,14.42827,12.62624,11.98794,71.48096,53.16732,39.05247,38.16062,78.32969,3,9,22,25
3387,12.35275,121.06761,PH,1.0,9.8722,9.03067,8.90068,14.02655,12.61502,7.1095,10.60423,0.39333,43.18662,25.47781,8.92931,88.41473,48.04448,31.63666,31.21375,51.43465,52.87151,93.31042,34.37242,64.93778,14.52485,7.29156,12.86392,9.00553,11.44708,59.98805,58.56528,72.63666,78.6894,29.01774,1,7,18,27
7266,0.46005,34.11169,KE,1.0,9.70424,11.78077,5.98992,15.19945,15.63904,5.0287,12.82456,0.01705,43.44955,57.38204,32.76851,1.38688,94.79929,55.53854,0.77083,33.29433,5.35694,29.56523,1.03951,50.31399,11.37083,11.36437,13.56399,8.25153,6.69725,43.64862,67.27331,29.64644,87.14649,89.76375,4,10,11,6
10653,38.55632,69.01354,TJ,0.0,8.16193,11.51525,10.329,14.73918,12.77725,13.24393,8.2478,1.12948,34.95799,40.76894,28.92024,23.61858,26.53263,99.39621,96.95246,37.32437,28.51354,80.99589,49.22178,74.90821,15.57952,11.92521,4.84837,12.75564,13.17272,47.19272,65.45572,67.22429,58.04433,81.01456,1,12,19,33
5350,-22.97056,-46.99583,BR,0.0,8.71413,14.02246,14.99622,7.76779,8.57837,12.15942,10.74649,0.05307,41.42734,40.3976,66.07886,16.03036,77.17613,64.32653,59.87664,48.77934,88.9905,12.23329,41.62296,1.50052,12.51888,10.72195,14.86752,12.04897,14.82592,52.08463,49.773,57.1774,23.1501,81.01896,2,9,3,10
1339,27.71809,-82.35176,US,0.0,12.16249,13.94652,13.98353,9.52418,10.33338,10.29742,13.79084,0.01158,56.2101,51.49902,99.88768,96.45327,86.00945,36.78813,1.1035,94.69012,47.25291,87.7392,54.38871,92.83125,10.98625,9.121,7.95497,15.02788,14.87726,67.56956,50.56683,51.20876,59.7197,98.50572,2,6,8,19
5161,50.74497,3.20639,BE,1.0,7.85369,7.37846,13.83025,13.2325,6.38195,12.2731,11.57802,0.11398,60.60709,27.78423,45.23613,98.36521,67.15722,89.73599,99.45868,46.18545,36.80773,62.62182,18.42773,33.67927,13.28576,14.33102,14.44549,11.22127,15.36798,55.5986,53.83113,61.45304,42.31689,93.51196,3,9,0,1
4576,27.71809,-82.35176,US,0.0,13.23952,11.74837,11.74002,10.97998,9.97832,13.6556,8.09289,0.18428,32.07552,34.14983,65.75401,27.61989,16.95544,60.65282,29.48338,14.60585,53.08312,31.86161,93.58229,20.23134,13.76561,10.25461,12.97678,14.22603,12.59451,60.30886,53.93494,76.9571,41.53321,5.07195,2,8,14,16
10382,40.64621,-73.97069,US,0.0,6.56654,8.86913,11.08159,9.04605,10.52414,15.57425,11.516,0.01448,70.48496,70.72403,63.10696,43.7653,17.83544,34.45034,51.50051,70.97471,72.55636,2.0163,1.79772,48.28745,11.223,11.70917,6.83523,13.55203,9.54432,61.57261,45.92174,57.25682,96.83875,12.50003,2,12,15,2
3555,26.11527,86.59509,IN,1.0,9.7294,8.57412,8.7604,14.38426,13.80495,7.9504,14.48352,0.03958,19.01303,50.70167,32.89124,61.91938,45.34959,47.91308,71.77622,99.30899,82.7024,23.63987,33.00802,58.36267,12.22752,6.29568,12.72184,9.57463,10.42572,52.50395,62.02523,53.83158,42.78543,75.54811,1,7,21,15
5090,3.51667,11.5,CM,1.0,11.16003,11.03894,12.6049,7.40946,10.3743,8.73288,7.6895,0.01653,56.09801,41.0431,86.55254,33.6895,22.62311,22.11478,70.91942,39.80523,88.56846,74.18426,72.46341,85.42442,11.36214,11.07542,8.12371,18.54691,11.64987,58.4776,64.07892,44.86244,4.72862,28.84303,4,8,22,50
3376,34.95303,-120.43572,US,1.0,12.35356,10.08755,8.99177,12.40997,14.64845,10.54449,5.56153,0.18499,18.91536,50.75254,82.10512,9.50311,34.20834,3.02363,87.80285,85.38036,6.2561,69.21133,66.37314,22.44318,13.76969,13.66111,14.34785,11.62554,11.08399,62.87961,46.6517,49.40913,47.23164,59.20384,2,7,18,16
2582,51.39148,-0.29825,GB,1.0,13.93935,9.55433,7.02435,13.34861,14.08493,7.16641,12.06078,0.1289,67.52218,69.4767,31.97651,42.35355,54.54733,13.7591,47.27283,74.57045,68.81007,70.59023,28.86231,3.78572,13.40844,10.46213,18.30453,10.78568,6.88954,57.45943,69.62616,40.4719,69.51068,58.64831,3,7,5,2
4634,23.18,88.58,IN,1.0,9.36161,10.65326,7.09725,13.84723,8.44988,8.27441,13.72489,0.02057,42.16266,49.22369,77.38636,37.36266,27.67226,35.10292,36.23195,37.85599,60.81231,1.81318,9.8009,34.21186,11.56908,11.77351,10.85908,12.93277,8.80411,51.38741,60.09045,36.5108,63.47188,29.37925,1,8,15,14
3678,48.35693,10.98461,DE,0.0,9.36567,11.12669,12.63549,11.2717,12.11663,12.77862,7.96329,0.0922,64.33319,57.27861,63.2753,34.87756,84.00886,4.93827,95.87499,56.78334,75.48317,34.23324,9.88376,9.09294,13.07245,13.52737,10.39595,14.38982,13.76396,48.96601,56.15786,42.73629,48.4268,95.37308,3,7,23,18
8910,40.93333,73.0,KG,1.0,8.90066,3.88426,5.66331,15.48217,17.78925,8.32118,15.0605,2.68999,20.90679,29.96984,32.77955,24.9767,72.57559,33.45511,93.56414,94.33828,46.99427,81.68232,13.53282,18.13861,16.44738,6.73887,15.76777,9.96568,12.96162,42.60301,45.3613,61.77422,57.13272,96.47899,1,11,14,30
8784,26.11527,86.59509,IN,1.0,15.09252,8.30368,7.70206,13.03345,13.49245,10.28644,9.34974,0.00733,31.51432,34.80006,60.27278,67.03593,25.44542,91.96497,79.41373,64.73358,35.28344,12.10897,94.53888,3.9622,10.50828,11.53459,9.71252,11.63683,13.72494,51.89939,50.93848,65.3686,73.04967,8.30255,1,11,12,24
